customer_name,company,phone_number,email_address,ship_address
A&A Medlabs,A&A Medlabs,(630) 991-8787,karthik@aamedlabs.com,"A&A Medlabs
498 W. Boughton Rd. Ste 102,
Bolingbrook IL 60440
United States"
A2Z Diagnostics,A2Z Diagnostics,nan,eroyael@a2zdx.com,"A2Z Diagnostics
6 Industrial Way W, Suite F19
Eatontown NJ 07724
United States"
Abdulla Fouad for Medical Supplies and Services Co.,Abdulla Fouad for Medical Supplies and Services Co.,966 920012100,sarah.albishi@afmssc.com,"Abdulla Fouad for Medical Supplies and Services Co.
PO Box No. 257 Airport of Destination: King Fahd
International Airport , Dammam
Dammam  31411
Saudi Arabia"
Absolute Genomics,Absolute Genomics,nan,DWEGMAN@ABSOLUTEGENOMIC.COM,"Absolute Genomics
1300 Old Plank Road
suite 400
Mayfield PA 18433
United States"
Accurate Mobile Lab services LLC,Accurate Mobile Lab services LLC,(703) 896-2039,info@accuratectv.com,"Accurate Mobile Lab services LLC
8723 W 95th Street
Hickory Hills IL 60457
United States"
Ace Biomedical Laboratories,Ace Biomedical Laboratories,nan,sharma@acebiolabs.com,"Ace Biomedical Laboratories
6444 BEACH BLVD
JACKSONVILLE FL 32216-2891
United States"
Adeyinka Layemo,Adeyinka Layemo,nan,nan,"Adeyinka Layemo
12217 James Maddision Ln
Glendale  MD 20769
United States"
Advanced Clinical Solutions,Advanced Clinical Solutions,nan,PETER@ACSLABUSA.COM,"Advanced Clinical Solutions
6b Culnen Dr
Branchburg NJ 08876
United States"
Advanced Diagnostic Cell Company for Medical Service,Advanced Diagnostic Cell Company for Medical Service,+31 (0) 646636352,bert.boer@atilabiosystems.com,"Advanced Diagnostic Cell Company for Medical Service
8485 Prince Muhammad Lbn Abdulaziz St
Riyadh  12223
Saudi Arabia"
Advanced Genomics LLC,Advanced Genomics LLC,(281) 888-5158,desiree@advancedgenomics.care,"Advanced Genomics LLC
10750 Hammerly Blvd
#259
Houston TX 77043-2318
United States"
Advanced Surgical institute,Advanced Surgical institute,(661) 573-7190,dcsingh245@gmail.com,"Advanced Surgical institute 
256 S La Cienega Blvd  
Beverly Hills, CA 90211 
DC Singh 
dcsingh245@gmail.com"
African Biotechnology Society ABS,African Biotechnology Society ABS,00 216 71 937 525,serv_appro@africanbs.com.tn,"African Biotechnology Society ABS
Zone Industrielle ElAgba, Centre de Vie et dâ€™Affaires,
1er Ã©tage, Bureau A1-3, 2087 Tunis, Tunisie
Tunisia"
AGTC Genomics Sdn Bhd (1428365-D),AGTC Genomics Sdn Bhd (1428365-D),60 12 798 8508,koksin@agtcgenomics.com,"AGTC Genomics Sdn Bhd (1428365-D)
J2-1, Pusat Perdagangan Bandar Bukit Jalil,
Persiaran Jalil 1, Bukit Jalil, 57000 Kuala Lumpur
Malaysia"
"AI BIOSCIENCES, INC","AI BIOSCIENCES, INC",nan,season.wong@aibiosciences.com,"AI BIOSCIENCES, INC
1902 PINON DR, STE C.
College Station TX 77845-5816
United States"
Albert Einstein College of Medicine,Albert Einstein College of Medicine,250 788834792,nan,"Église du Christ au Congo 
Université Protestante au Congo 
Croisement Avenue de Libération et du Boulevard  Triomphal  
Kinshasa/Lingwala  
République Démocratique du Congo 
Att: Professeur  Sumaili  Ernest Kiswaya 
Phone numbers: 243818826444 and 243999908223"
ALFA GENETICS D.O.O.,ALFA GENETICS D.O.O.,+31 (0) 646636352,bert.boer@atilabiosystems.com,"ALFA GENETICS D.O.O.
Cvijiceva 128/3 
11120 Belgrade
Serbia"
Alpha Diagnostics,Alpha Diagnostics,nan,danitra@alphadx.net,"Alpha Diagnostics
204 Huffman Mill Rd
Burlington NC 27215
United States"
Alpha Medical Lab Services,Alpha Medical Lab Services,nan,RGATES@ALPHAMEDICALLAB.COM,"Alpha Medical Lab Services 
224 N 6th St 
Jenks OK 74037 
Alexis Conner 
833.961.1239"
Alpha Medthrift Scientific Co.,Alpha Medthrift Scientific Co.,(708) 403-2220,purchasing@amscomedical.com,"Alpha Medthrift Scientific Co.
925 Lambrecht Road
Frankfort IL 60423
United States"
Altera Laboratory Services LLC.,Altera Laboratory Services LLC.,nan,alex.k@alterabiolab.com,"Altera Laboratory Services LLC.
16902 Millikan Ave Suite B
Irvine CA 92606
United States"
Altium International Lab. Cih. A.Ş.,Altium International Lab. Cih. A.Ş.,+31 (0) 646636352,bert.boer@atilabiosystems.com,"Altium International Lab. Cih. A.Ş.
Ece TURKMEN, Group Manager | Grup Müdürü | DGG Barbaros Mahallesi Temmuz Sokak No:6 34746 Ataşehir / İstanbul
Istanbul  
Türkiye"
AMEDiX Incorporated,AMEDiX Incorporated,nan,AMEDIX@AMEDIXLABORATORY.COM,"AMEDiX Incorporated 
6103 Strickland Ave, Ste D 
Brooklyn NY 11234 
John Izreal 
888-826-3349 
AMEDIX@AMEDIXLABORATORY.C"
